日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/09/01,614,614,608,613,-1,"30,125"
110/09/02,613,615,607,607,-6,"26,153"
110/09/03,610,620,610,620,13,"62,288"
110/09/06,623,638,621,631,11,"77,024"
110/09/07,634,634,623,623,-8,"29,823"
110/09/08,622,627,612,619,-4,"38,267"
110/09/09,612,620,610,619,0,"19,569"
110/09/10,615,623,614,622,3,"17,067"
110/09/13,619,620,613,615,-7,"21,779"
110/09/14,618,618,612,613,-2,"13,569"
110/09/15,610,613,607,607,-6,"24,839"
110/09/16,603,607,599,600,-7,"31,437"
110/09/17,600,610,599,600,0,"18,681"
110/09/22,586,589,583,586,-14,"70,389"
110/09/23,588,593,588,588,2,"22,991"
110/09/24,591,598,590,598,10,"15,796"
110/09/27,600,602,593,602,4,"16,349"
110/09/28,595,596,592,594,-8,"16,496"
110/09/29,580,583,577,580,-14,"95,024"
110/09/30,580,585,575,580,0,"32,973"
